x,y
5.81745,26.025814
8.454574,32.021374
4.5352516,31.944027
10.259292,7.02198
7.571495,5.5196853
13.082512,8.637262
1.6409552,31.721905
7.657244,5.59007
-12.100961,-17.029003
4.9221134,31.091894
-3.5004842,28.09172
-2.8212771,29.330444
5.863225,25.80244
-11.825611,27.215807
7.83465,4.9495997
12.167116,9.243141
3.623038,29.741203
-5.31534,27.602343
-2.7966442,30.171024
13.030771,10.1061
7.3032036,32.94186
6.418223,25.9944
11.143102,6.7042413
5.8167896,33.34118
10.5546465,7.9996634
6.575995,30.531078
10.681546,5.8832245
6.2773757,28.771019
13.394053,9.633862
1.6191409,29.972996
13.566718,9.352867
12.27726,8.628428
13.082752,8.636558
12.454836,8.380284
-2.3264065,29.047611
1.8951061,31.560003
12.6570635,9.090174
10.278409,6.506338
7.7983527,4.0399194
11.947157,8.741529
12.960793,9.876439
-12.541168,-17.01145
13.081259,8.640754
11.448214,8.642376
12.446013,8.386144
10.259293,7.0219803
11.929381,10.042247
13.030776,10.106102
13.348263,9.801924
11.355796,9.4987
-12.100962,-17.029005
12.441917,10.053497
12.167116,9.243139
11.92937,10.042318
11.836191,-9.146685
6.0252576,25.806835
11.565218,9.047176
-0.7531887,32.11676
4.986127,33.75948
-2.155323,29.141357
12.35028,10.310914
11.096111,7.167834
10.537768,7.2340736
12.799216,8.295145
-12.689535,-16.612473
2.8023791,28.455124
12.657836,9.087117
5.890062,25.772825
12.399667,9.136756
5.371815,33.51641
4.9860187,33.75968
6.0386972,25.769863
-12.020636,-16.692469
10.475152,7.655257
10.028293,7.473954
5.7950144,32.125496
6.0614285,25.813885
10.260334,7.0218067
13.566717,9.352862
-12.174565,-16.01717
5.27501,33.56348
0.095930904,32.474033
1.5847266,30.771173
8.4827795,31.143557
-12.5156355,-16.127478
-0.5640886,32.047092
-12.688421,-16.627523
8.974917,6.214238
-12.100961,-17.029003
-12.174371,-16.017147
7.032026,31.21282
8.599101,30.702114
2.2659216,33.12956
8.482769,31.143574
-12.068737,-16.362225
-8.03676,27.18323
-12.070862,-16.357761
7.9424367,31.912619
8.397778,31.211061
-12.688414,-16.627613
-19.49066,2.286033
-14.283823,-15.9785795
-19.963041,-12.689642
-16.397457,3.7705572
-7.6702332,-1.3174709
-11.8661585,-0.57462543
-17.61327,9.967168
-16.669449,-11.728157
-11.194338,-0.64788365
-18.10917,9.123977
-19.916641,-12.036464
-5.165357,-0.24501723
-7.3398824,0.2737669
-16.552776,5.905491
-13.611913,18.387741
-14.26301,18.417585
-21.182096,-14.430037
-6.757288,0.07357204
-19.070667,-11.76069
-16.129965,1.7970031
-11.194351,-0.6478811
-19.61778,-13.491674
-8.317091,0.24991135
-10.733347,1.5024927
-5.43159,-0.7402847
-12.053463,-1.3250715
-13.743397,18.547922
-14.292545,-15.560909
-16.129974,1.7970058
-13.6118145,18.388102
7.9640646,5.5397897
-14.6612835,-14.652615
-7.853057,-1.286691
-10.532438,2.7229314
-6.339615,-0.53089327
-15.59435,4.957453
-14.4297905,-14.685953
-21.068882,-13.72145
-20.258867,-13.219688
-13.61858,18.737385
-20.274994,-12.686198
-17.507334,0.9195102
-16.41475,-12.462939
-17.285227,-12.5804
-17.30995,10.435186
-13.493303,-18.324205
-19.61756,-13.491724
-20.450373,-12.690896
-21.196135,-14.388701
-13.618581,18.737387
-15.846871,-0.09196398
-15.638643,1.393576
23.132809,-18.955513
6.952782,4.9141407
-19.347624,-13.053242
-19.522139,-12.350332
-19.103268,3.0640545
-10.793786,0.079274826
11.635019,-9.517739
-20.543612,-11.800172
-11.154836,0.5915403
-13.252402,-17.259865
-20.25887,-13.219688
-12.199345,0.32870197
-14.263011,18.41758
10.973503,-8.253044
-9.644372,-0.77978265
-14.362176,2.9830916
-13.516874,-18.133484
-16.89492,7.547839
-18.998072,-11.90589
-19.636364,12.068954
-19.52213,-12.350337
-18.595634,-11.888086
-19.28219,-12.538753
-14.982089,2.7354467
-13.542025,-15.564676
-19.636328,12.068542
-19.788721,-12.794886
-14.863814,4.316555
-19.007833,3.018447
-16.778057,-11.489726
-21.415209,-13.8770895
-19.103067,3.0640543
-19.103003,3.0643048
-6.5480576,0.64601487
-11.22025,4.325946
-15.84687,-0.09188817
-14.262991,18.417656
-20.087364,-13.830712
-14.722055,17.944298
-15.106349,14.680876
7.480081,5.249869
-5.1756587,0.33594543
-19.347628,-13.053238
-5.175657,0.33594444
-12.001751,-1.7012163
-19.347616,-13.053244
-7.6424923,0.7075417
-5.645705,-1.2955308
19.450607,-20.170303
7.9429755,24.108133
13.630013,-25.514435
12.704669,-10.441024
20.594685,-16.879593
13.809917,-30.3881
2.4662466,33.117043
13.037754,-26.109371
14.976089,-30.011015
19.935043,-18.82407
21.491982,-20.145773
