x,y
-10.827813,-16.248558
0.89225686,-14.015515
-7.937178,-18.435654
5.935811,-22.666197
14.230686,-8.733073
5.360554,-23.943748
0.32931858,-0.9242822
14.230687,-8.733073
15.563588,-5.5201874
-10.779311,-17.314508
-8.606149,-13.773736
-1.5316801,-3.2182016
-6.028423,-4.6533046
-12.139894,-12.712279
14.405089,-8.913678
9.0106125,-22.61438
-11.783234,-18.832684
-17.220417,-15.766743
-1.7074261,-0.8157174
4.5257654,-21.971636
0.7306809,-19.2865
0.13694243,-27.707035
7.543336,-22.081768
-2.3718755,-14.398267
6.1368475,-17.255293
-9.343681,-23.086514
-1.161173,-9.750313
-5.5735984,-17.71947
6.3570175,-19.579454
2.959617,-15.872429
4.73232,-18.844234
5.8546696,-24.60792
4.317963,-22.846071
6.7839656,-23.040783
-1.549973,0.40175676
0.45891652,-2.6830657
5.183206,-24.544737
3.6983309,-20.705467
-2.8846557,-0.17669246
5.8037786,-19.393951
6.8511076,-21.889746
14.593235,-5.458708
7.299805,-23.135872
4.3974314,-19.05227
7.4475493,-21.509617
5.818936,-21.352772
6.951564,-21.19894
4.275067,-22.30284
5.8161917,-22.311682
5.02157,-18.141373
13.830396,-5.480929
7.5166216,-22.630938
6.3435097,-21.92442
5.4967313,-25.44174
10.475566,-21.755938
-9.101813,-6.077765
6.362582,-22.804544
-2.300231,-3.3406982
-3.5549219,-14.367595
1.1458815,-5.237005
6.8572288,-25.09614
7.565297,-25.272726
4.6796684,-22.677595
6.259659,-24.320417
13.926087,-4.225898
-1.7067419,-0.81619465
5.8322425,-24.100037
-8.388572,-5.371397
4.919077,-24.140621
-3.02602,-14.35787
-2.9792194,-14.570527
-8.388171,-5.371546
15.659023,-5.189997
5.058495,-17.778555
6.3958364,-21.235329
0.16145071,-9.4126425
-8.7494955,-5.5295796
5.684553,-21.775286
6.8216925,-22.399223
14.325979,-5.6930246
-2.9789639,-14.569745
-1.1082064,-10.009854
1.3608419,-4.7460823
-7.214366,-22.75559
13.580838,-4.586489
-3.1538403,-3.118695
14.165861,-4.823284
-2.161597,0.78906494
14.355107,-4.085603
13.600186,-5.1012325
-5.5154533,-17.634735
-7.1183662,-22.976725
-1.2792145,-4.723777
-7.874439,-22.213076
14.829648,-4.2439923
-17.389267,-17.601675
14.901307,-4.612836
0.96993995,-0.91316944
-7.4401755,-22.285107
14.605163,-4.9835663
16.465958,11.623275
17.310053,1.2608316
30.440912,-5.920415
22.888527,10.561676
22.343676,13.243458
21.244024,11.161694
19.30372,-4.130082
22.357628,-2.2893164
23.62892,12.812879
31.194738,5.1879745
29.226322,-3.0960183
21.67595,8.429934
24.803709,5.687487
31.899704,2.0484047
2.7977185,3.15374
-0.16091517,1.8336396
19.654516,15.939516
19.646784,11.720045
30.440931,-5.9204164
23.30442,10.783666
23.338583,12.648681
27.726368,-6.273023
19.923391,7.543757
27.156326,10.942081
19.767883,7.436821
34.913177,8.857711
2.068588,2.5035279
18.598324,13.473818
23.110178,10.619236
-1.2375327,4.2901783
1.9150865,5.430871
27.074476,3.3754268
22.725462,12.6914835
32.155167,7.364438
16.582878,11.66994
30.994263,1.2813141
28.322174,3.8080373
28.83882,-3.081823
26.414646,-3.9007742
3.3394616,4.9411755
24.605722,-3.178196
21.303677,-3.3567498
20.85908,-2.8239198
20.33982,-2.161156
19.347446,-4.0361123
26.842861,3.3833241
29.564066,-2.5597892
27.282154,-5.7879844
25.230185,5.205449
2.1199625,4.9115205
35.511646,9.169609
31.188988,-2.2040823
2.7719715,-2.2661498
26.280882,18.683176
